name,type,latitude,longitude,osm_id
Pettai Police Station,police,8.7233887,77.6634014,node/9194950899
E5 Mattuthavani Station,police,9.9435961,78.1551729,node/9569071027
Women Police Station,police,10.0754931,78.7793942,node/9776942617
Police station,police,11.3844885,78.1622883,node/10199917192
Puduchathiram Police station,police,11.3845086,78.1624257,node/10200933102
HUDCO Police Station,police,12.7258052,77.8579715,node/10688149980
mangadu police station,police,13.0352881,80.114521,node/10741550765
Ranipet Police Station,police,12.9275387,79.3304569,node/10926155837
F2 Auroville Police Station,police,11.9910312,79.7840118,node/10949254831
Government Railway Police Station,police,11.6712204,78.1130289,node/10968036587
Police station,police,11.4417624,76.9515084,node/11105068155
J1 Sethiathoppu Police Station,police,11.4526281,79.5462513,node/11174459038
Maavatta Kaaval Aluvalagam - Tiruppur,police,11.0811826,77.3409296,node/11282919361
L3 Kullanchavadi Police Station,police,11.6280544,79.6690515,node/11799299456
T-2 Reddichavady Police Station,police,11.8364604,79.7858521,node/11799300848
Thiruvarur Taluk Police Station,police,10.7807779,79.6076069,node/11810827238
Police Station,police,10.1460152,77.6419915,node/11816646131
Police station,police,10.310788,77.6430616,node/11816661282
Police station,police,10.1224472,77.545984,node/11816672233
DYSP Police station,police,10.2368898,77.4943466,node/11816672814
Munneerpallam Police Station,police,8.6818307,77.6986627,node/11868319265
Thottiyam Police station,police,10.9874415,78.3363001,node/11905568731
Thiruvarur Armed Reserve,police,10.7695222,79.6054543,node/12006228469
Tirupattur Town Police Station,police,12.4950217,78.5674799,node/12038551386
Malli Police Station,police,9.4944923,77.6937848,node/12044030499
kanjanur police station,police,12.0661599,79.4651755,node/12077887621
X1 Veppur Police Station,police,11.5295953,79.1223868,node/12078439759
Annur Police Station,police,11.2315485,77.1014321,node/12122699748
Control Room,police,13.0848694,80.2182466,node/12169790434
"E4 Police Station, Thuraiyur",police,11.1448718,78.593571,node/12287751638
Southgate Police Station,police,9.9107439,78.1197237,node/12289141065
W.2. Oomangalam Police Station,police,11.5380527,79.4326298,node/12310097751
Mallasamudram Police Station,police,11.4998427,78.0303028,node/12347266609
M5 Ennore Police Booth,police,13.1864179,80.3076057,node/12459049285
Peelamedu E2 Police Station,police,11.0253639,77.0101634,node/12473835683
Podanur Police Station,police,10.9677575,76.9781012,node/12473896167
Ramanathapuram Police Station,police,11.0028259,76.9916717,node/12473897891
C1 Katoor Police Station,police,11.0145917,76.968262,node/12473901192
Out Post Police Station - Singanallur,police,11.0025957,77.0288423,node/12473949936
Rathinapuri B-15 Police Station,police,11.0252974,76.9689359,node/12473970775
Thudiyalur Police Station,police,11.0819434,76.9412392,node/12473983454
C-1 Bargur Police Station,police,12.5432967,78.354871,node/12564674797
"All Women Police Station, Vedaranyam",police,10.3771265,79.8515803,node/12650886972
Muthupet Police Station,police,10.3995959,79.4969815,node/12705216101
DSP Police station,police,10.2388773,77.4947667,node/12909709888
B-2 R.S.Puram police station,police,11.0053262,76.9500311,node/13001849060
Srinagar colony police booth,police,13.0125062,80.2272456,node/13127975757
Yercaud Police Station,police,11.7743308,78.2077213,node/13337897439
Madurai Traffic Police Station,police,9.9245991,78.1488578,node/13609197706
Thondamuthur Police Station,police,10.9912998,76.8424602,node/13673527215
"All Women Police Station, Kulithalai",police,10.9406349,78.420054,node/13851193949
B3 South Police Station,police,8.8005023,78.1368421,node/13910328978
Thoothukudi All Women Police Station,police,8.80064,78.1369217,node/13910328979
Andimadam Police Station,police,11.3359445,79.3770445,node/13938799960
Selaiyur Beat Post,police,12.9339134,80.1295679,node/14057634446
Kilpennathur Police Station,police,12.2469441,79.2249296,node/14057710532
"K2 Police Station, Ayanavaram",police,13.093795,80.2409682,node/14066727702
R-5 Virugambakkam Police Station,police,13.0571823,80.1995238,node/14067751968
GH Police station,police,10.8124638,78.6784929,node/14088746402
Kilambakkam Bus Terminus Police Booth,police,12.8744391,80.0781668,node/14100068902
E-3 Teynampet Police Help Station,police,13.0412543,80.2503552,node/14121893948
Hosur Town Police Station,police,12.7290664,77.8323693,node/14133768896
